handle,title,displayTitle,category,price_from,variant_count,image_count,primary_image,vendor
print-by-order-luxury-digy-peacock-pattern-plant-leaves-in-teal-blue-and-gold-pattern-velvet-fabric-sold-by-meter-140-wide,"Print by order luxury digy peacock pattern plant leaves in teal blue and gold pattern velvet fabric sold by meter 140 wide","luxury digy peacock pattern plant leaves in teal blue",fabrics,35,1,3,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7366845659_efqn.webp?v=1776377066,Lumina Hub
print-by-order-luxury-teal-gold-pattern-plant-leaves-in-teal-blue-and-gold-pattern-velvet-fabric-sold-by-meter-140-wide,"Print by order luxury teal gold pattern plant leaves in teal blue and gold pattern velvet fabric sold by meter 140 wide","luxury teal gold pattern plant leaves in teal blue and",fabrics,35,1,3,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7366858133_ag1d.webp?v=1776376194,Lumina Hub
print-by-order-luxury-white-grey-gold-marble-effect-velvet-fabric-140cm-wide-sold-by-meter,"Print by order luxury white grey gold marble effect velvet fabric 140cm wide sold by meter","luxury white grey gold marble effect velvet fabric",fabrics,35,1,3,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7319503446_ftwh.webp?v=1776430753,Lumina Hub
print-by-order-luxury-blue-gold-wave-marble-effect-velvet-fabric-140cm-wide-sold-by-meter,"Print by order luxury blue gold wave marble effect velvet fabric 140cm wide sold by meter","luxury blue gold wave marble effect velvet fabric 140cm",fabrics,35,1,2,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7268276036_big5.webp?v=1776375614,Lumina Hub
print-by-order-zigzag-chevron-geometric-multicoloured-velvet-fabric-on-demand,"Print by order zigzag chevron geometric multicoloured velvet fabric on demand","zigzag chevron geometric multicoloured velvet fabric on",fabrics,29.99,1,2,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7031359226_ktwh.webp?v=1776375498,Lumina Hub
print-by-order-luxury-teal-blue-jade-and-gold-geometric-design-abstract-art-print-velvet-fabric-140cm-wide,"Print by order luxury teal blue jade and gold geometric design abstract art print velvet fabric 140cm wide","luxury teal blue jade and gold geometric design",fabrics,35,1,1,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7321943083_e6g5.webp?v=1776430656,Lumina Hub
print-by-order-luxury-green-and-golden-yellow-marble-effect-velvet-fabric-140cm-wide-sold-by-meter,"Print by order luxury green and golden yellow marble effect velvet fabric 140cm wide sold by meter","luxury green and golden yellow marble effect velvet",fabrics,35,1,3,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7901302488_lhi8.webp?v=1776374792,Lumina Hub
print-by-order-luxury-green-yellow-teal-blue-water-colour-abstract-effect-velvet-fabric-140cm-wide-sold-by-meter,"Print by order luxury green yellow teal blue water colour abstract effect velvet fabric 140cm wide sold by meter","luxury green yellow teal blue water colour abstract",fabrics,35,1,3,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_1140xN.7949350335_qi1k.webp?v=1776374934,Lumina Hub
handmade-by-order-multicoloured-rainbow-peacock-feathers-print-on-velvet-rounded-rectangular-shape-lamp-shade-pendant-lamp-light-shade,"Handmade by order multicoloured rainbow peacock feathers print on velvet rounded rectangular shape lamp shade pendant lamp light shade","multicoloured rainbow peacock feathers print on velvet",rectangular,34.99,80,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T030825.463.png?v=1773785513,Lumina Hub
handmade-by-order-studio-green-dark-green-grey-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-available-1,"Handmade by order luxury blue grey silver wave pattern Tapered empire shape velvet lamp shade pendant light lamp shade all shapes and sizes","luxury blue grey silver wave pattern Tapered empire",empire,29.99,230,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_-_2026-03-18T031547.553.png?v=1773785927,Lumina Hub
handmade-mink-grey-velvet-oval-lamp-shade-gold-foil-shimmer,"Handmade Mink Grey Velvet Oval Lamp Shade: Gold Foil Shimmer","Handmade Mink Grey Velvet Oval Lamp Shade: Gold Foil",foil-lined,27.99,100,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T030249.470.png?v=1773785058,Lumina Hub
handmade-by-order-luxury-antique-metal-rusting-orange-teal-grey-combination-velvet-rounded-square-lamp-shade-pendant-light-lamp-shade-all,"handmade by order luxury antique metal rusting orange teal grey combination velvet ROUNDED SQUARE lamp shade pendant light lamp shade all","luxury antique metal rusting orange teal grey",square,29.99,140,8,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T025501.336.png?v=1773784642,Lumina Hub
handmade-by-order-luxury-multi-coloured-zigzag-geometric-pattern-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-availa,"Handmade by order luxury multi coloured zigzag geometric pattern velvet drum lamp shade pendant light lamp shade all shapes and sizes availa","luxury multi coloured zigzag geometric pattern velvet",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7558981714_aaav.webp?v=1773350730,Lumina Hub
handmade-by-order-luxury-abstract-wave-pattern-design-in-brige-blue-grey-pattern-rectangular-shape-lamp-shade-pendant-light-shade,"Handmade by order luxury abstract wave pattern design in brige blue grey pattern RECTANGULAR shape lamp shade pendant light shade","luxury abstract wave pattern design in brige blue grey",rectangular,34.99,80,6,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7079022992_t9h8.webp?v=1773353479,Lumina Hub
handmade-by-order-luxury-exotic-birds-peacock-birds-foral-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury exotic birds peacock birds foral pattern drum lamp shade pendant light lamp shade all shapes and sizes available","luxury exotic birds peacock birds foral pattern drum",drum,24.99,240,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_1140xN.7615326516_esar.webp?v=1775746920,Lumina Hub
handmade-by-order-luxury-gold-grange-pattern-in-black-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury gold grange pattern in black velvet drum lamp shade pendant light lamp shade all shapes and sizes available","luxury gold grange pattern in black velvet drum lamp",drum,24.99,240,12,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-25T141536.453.png?v=1774430186,Lumina Hub
handmade-by-order-luxury-purple-pink-floral-plant-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury purple pink floral plant pattern drum lamp shade pendant light lamp shade all shapes and sizes available","luxury purple pink floral plant pattern drum lamp shade",drum,24.99,240,13,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-25T141304.192.png?v=1774430029,Lumina Hub
handmade-by-order-luxury-bottle-dark-green-velvet-and-leaf-pattern-inside-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avai,"Handmade by order luxury bottle dark green velvet and leaf pattern inside drum lamp shade pendant light lamp shade all shapes and sizes avai","luxury bottle dark green velvet and leaf pattern inside",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_51.png?v=1773664799,Lumina Hub
handmade-by-order-luxury-brown-beige-wooden-patterned-velvet-geometric-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-available,"Handmade by order luxury brown beige wooden patterned velvet geometric pattern drum lamp shade pendant light lamp shade all shapes available","luxury brown beige wooden patterned velvet geometric",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_56.png?v=1773664957,Lumina Hub
handmade-by-order-luxury-mink-gold-foiled-velvet-rectangular-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury mink gold foiled velvet rectangular lamp shade pendant light lamp shade all shapes and sizes available","luxury mink gold foiled velvet rectangular lamp shade",foil-lined,34.99,80,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7076714036_3gpl.webp?v=1773665100,Lumina Hub
handmade-by-order-luxury-deep-dark-blue-and-digital-teal-leaf-plant-pattern-double-sided-lamp-shade-pendant-light-shade-all-shapes-and-sizes,"handmade by order luxury deep dark blue and digital teal leaf plant pattern double sided lamp shade pendant light shade all shapes and sizes","luxury deep dark blue and digital teal leaf plant",drum,24.99,24,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_67.png?v=1773665301,Lumina Hub
handmade-by-order-luxury-butterflies-and-plant-moon-pattern-on-velvet-black-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury butterflies and plant moon pattern on velvet black lamp shade pendant light lamp shade all shapes and sizes available","luxury butterflies and plant moon pattern on velvet",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_83.png?v=1773671080,Lumina Hub
handmade-abstract-pattern-drum-lamp-shade-clarke-and-clarke-fabric-brown-velvet-fabric-copy,"Handmade by order luxury black golden honey comb geometric pattern drum lamp shade pendant light lamp shade all shapes and sizes","luxury black golden honey comb geometric pattern drum",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_300x300.7608649453_a9vh.webp?v=1775753643,Lumina Hub
handmade-by-order-luxury-water-coolers-floral-abstract-art-print-on-velvet-drum-lamp-shade-all-shapes-and-sizes-available-1,"Handmade by order luxury water coolers floral abstract art print on velvet drum lamp shade all shapes and sizes available","luxury water coolers floral abstract art print on",drum,24.99,240,12,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_96.png?v=1773781032,Lumina Hub
handmade-by-order-luxury-pink-blue-checkerboard-cube-pattern-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available-1,"Handmade by order luxury pink blue checkerboard cube pattern on velvet drum lamp shade pendant light lamp shade all shapes and sizes available","luxury pink blue checkerboard cube pattern on velvet",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T015747.942.png?v=1773781204,Lumina Hub
handmade-by-order-luxury-velevt-black-and-white-pearl-wave-marble-effect-with-pearl-beads-print-on-velvet-drum-lamp-shade-pendant-light-shad,"Handmade by order luxury velevt black and white pearl wave marble effect with pearl beads print on velvet drum lamp shade pendant light shad","luxury velevt black and white pearl wave marble effect",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T020921.643.png?v=1773781933,Lumina Hub
handmade-by-order-luxury-black-and-white-large-leaf-patterned-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury black and white large leaf patterned drum velvet lamp shade pendant light lamp shade all shapes and sizes available","luxury black and white large leaf patterned drum velvet",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7564721830_p4ns.webp?v=1773782133,Lumina Hub
handmade-by-order-luxury-pink-teal-blue-leopard-skin-dots-on-velvet-rounded-rectangular-lamp-shade-pendant-light-lamp-shade-all-shapes-and-s,"Handmade by order luxury pink teal blue leopard skin dots on velvet rounded rectangular lamp shade pendant light lamp shade all shapes and s","luxury pink teal blue leopard skin dots on velvet",rectangular,34.99,80,5,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T023142.320.png?v=1773783122,Lumina Hub
handmade-by-order-luxury-blue-gold-marble-wave-velvet-oval-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-available-on-demand,"Handmade by order luxury blue gold marble wave velvet OVAL lamp shade pendant light lamp shade all sizes and shapes available on demand","luxury blue gold marble wave velvet OVAL lamp shade",oval,27.99,100,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T023830.702.png?v=1773783564,Lumina Hub
handmade-by-order-luxury-teal-golden-wave-abstract-art-print-velvet-candle-clip-small-coolie-lamp-shade-for-walls-and-small-table-lamps,"handmade by order luxury teal golden wave abstract art print velvet CANDLE CLIP small coolie lamp shade for walls and small table lamps","luxury teal golden wave abstract art print velvet",coolie,24.99,1,4,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T024302.434.png?v=1773783848,Lumina Hub
handmade-by-order-luxury-scandi-floral-black-and-cream-combination-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury scandi floral black and cream combination drum lamp shade pendant light lamp shade all shapes and sizes available","luxury scandi floral black and cream combination drum",drum,24.99,240,12,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T022049.167.png?v=1773782665,Lumina Hub
handmade-by-order-luxury-purple-gold-stones-lava-abstract-geometric-pattern-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Handmade by order luxury purple gold stones lava abstract geometric pattern drum velvet lamp shade pendant light lamp shade all shapes sizes","luxury purple gold stones lava abstract geometric",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T021601.577.png?v=1773782403,Lumina Hub
handmade-by-order-lime-green-and-green-feathers-printed-double-sided-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order lime green and green feathers printed double sided drum lamp shade pendant light lamp shade all shapes and sizes available","lime green and green feathers printed double sided drum",drum,24.99,24,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-18T015826.212_ab317242-43e1-45fd-ae7d-f26cc89bccda.png?v=1774419091,Lumina Hub
handmade-by-order-luxury-emerald-dark-green-marble-abstract-art-velvet-two-three-tiered-lamp-shade-with-metallic-plain-linings,"Handmade by order luxury emerald dark green marble abstract art velvet two three tiered lamp shade with metallic plain linings","luxury emerald dark green marble abstract art velvet",lampshades,95,40,5,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_90.png?v=1773779408,Lumina Hub
handmade-by-order-luxury-black-gold-leaf-plant-tree-pattern-velvet-drum-table-and-ceiling-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury black gold leaf plant tree pattern velvet drum table and ceiling lamp shade all shapes and sizes available","luxury black gold leaf plant tree pattern velvet drum",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_78.png?v=1773665725,Lumina Hub
handmade-by-order-luxury-white-blue-paint-brush-strips-strokes-art-print-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Handmade by order luxury white blue paint brush strips strokes art print velvet drum lamp shade pendant light lamp shade all shapes sizes","luxury white blue paint brush strips strokes art print",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7600781847_nck3.webp?v=1773665505,Lumina Hub
handmade-by-order-luxury-neutral-gold-linen-look-pattern-leopard-print-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-1,"Handmade by order luxury neutral gold linen look pattern leopard print drum velvet lamp shade pendant light lamp shade all shapes and sizes","luxury neutral gold linen look pattern leopard print",linen-lampshades,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_34.png?v=1774430278,Lumina Hub
handmade-by-order-luxury-multicoloured-abstract-art-leopard-print-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avail-1,"Handmade by order luxury multicoloured abstract art leopard print drum velvet lamp shade pendant light lamp shade all shapes and sizes avail","luxury multicoloured abstract art leopard print drum",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7606929959_oq1d.jpg?v=1773663535,Lumina Hub
handmade-by-order-luxury-cuerden-iliv-tree-branches-engraved-pattern-on-midnight-blue-silk-fabric-oval-lamp-shade-pendant-shade-all-sizes,"Handmade by order luxury cuerden iliv tree branches engraved pattern on midnight blue silk fabric OVAL lamp shade pendant shade all sizes","luxury cuerden iliv tree branches engraved pattern on",oval,27.99,100,6,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_-_2026-03-18T023454.899.png?v=1773783358,Lumina Hub
handmade-by-order-luxury-orange-yellow-multicoloured-retro-geometric-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Handmade by order luxury orange yellow multicoloured retro geometric pattern drum lamp shade pendant light lamp shade all shapes and sizes","luxury orange yellow multicoloured retro geometric",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_-_2026-03-25T163703.251.png?v=1774643511,Lumina Hub
handmade-abstract-pattern-drum-lamp-shade-clarke-and-clarke-fabric-brown-velvet-fabric,"Handmade Abstract Pattern Drum Lamp Shade: Clarke and Clarke Fabric brown velvet fabric","Handmade Abstract Pattern Drum Lamp Shade: Clarke and",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7552841494_gz8f.webp?v=1776004414,Lumina Hub
handmade-by-order-luxury-pink-red-black-geometric-print-abstract-art-design-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Handmade by order luxury pink red black geometric print abstract art design velvet drum lamp shade pendant light lamp shade all shapes sizes","luxury pink red black geometric print abstract art",drum,24.99,240,9,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7564724694_idfj.webp?v=1776528926,Lumina Hub
handmade-by-order-luxury-peacock-feathers-print-in-blue-navy-velvet-fabric-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Handmade by order luxury peacock feathers print in blue navy velvet fabric drum lamp shade pendant light lamp shade all shapes and sizes","luxury peacock feathers print in blue navy velvet",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_1140xN.7607096479_osip.webp?v=1775751103,Lumina Hub
handmade-by-order-luxury-antique-orange-rusting-abstract-teal-grey-orange-pattern-rounded-rectangular-shape-lamp-shade-pendant-light-lamp-sh,"Handmade by order luxury antique orange rusting abstract teal grey orange pattern ROUNDED RECTANGULAR shape lamp shade pendant light lamp sh","luxury antique orange rusting abstract teal grey orange",rectangular,34.99,80,4,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7440685377_qbb3.jpg?v=1773662190,Lumina Hub
handmade-by-order-abstract-art-alcohol-paint-florat-rose-green-plant-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Handmade by order abstract art alcohol paint florat rose green plant on velvet drum lamp shade pendant light lamp shade all shapes sizes","abstract art alcohol paint florat rose green plant on",drum,24.99,240,12,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7567492404_h5mi.webp?v=1773661676,Lumina Hub
handmade-by-order-luxury-pink-blue-checkerboard-cube-pattern-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury pink blue checkerboard cube pattern on velvet drum lamp shade pendant light lamp shade all shapes and sizes available","luxury pink blue checkerboard cube pattern on velvet",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7560698174_2ijd.webp?v=1773660641,Lumina Hub
handmade-by-order-luxury-black-linen-fabric-black-and-gold-lining-lamo-shade-15cm-diameter-x-20cm-h-9-units,"Handmade by order luxury black linen fabric black and gold lining lamp shade 15cm diameter x 20cm h. 9 units","luxury black linen fabric black and gold lining lamp",linen-lampshades,24.99,10,1,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7080916160_340p.webp?v=1773659922,Lumina Hub
luxury-velvet-lamp-shade-abstract-grey-gold-wave-pattern,"Luxury Velvet Lamp Shade: Abstract Grey Gold Wave Pattern","Luxury Velvet Lamp Shade: Abstract Grey Gold Wave",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7547036806_tlp1.webp?v=1773659452,Lumina Hub
handmade-satin-silk-lavender-purple-drum-lamp-shade,"Handmade Satin Silk Lavender Purple Drum Lamp Shade","Handmade Satin Silk Lavender Purple Drum Lamp Shade",drum,24.99,240,8,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7615229186_afbw.webp?v=1773659266,Lumina Hub
handmade-navy-tropical-parrot-lampshade-made-to-order,"Handmade Navy & Tropical Parrot Lampshade - Made to Order","Handmade Navy & Tropical Parrot Lampshade - Made to",drum,24.99,240,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7083773751_6aoc.webp?v=1773658833,Lumina Hub
handmade-by-order-luxury-black-and-pink-wave-abstract-pattern-on-velvet-drum-lamp-shade-pendant-light-shade-all-shapes-and-sizes-available,"Handmade by order luxury black and pink wave abstract pattern on velvet drum lamp shade pendant light shade all shapes and sizes available","luxury black and pink wave abstract pattern on velvet",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7541524056_gwrx.webp?v=1773658667,Lumina Hub
handmade-by-order-luxury-mink-gold-foild-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury mink gold foild velvet drum lamp shade pendant light lamp shade all shapes and sizes available","luxury mink gold foild velvet drum lamp shade pendant",foil-lined,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7580889668_8df2.webp?v=1773658485,Lumina Hub
handmade-by-order-luxury-water-coolers-floral-abstract-art-print-on-velvet-drum-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury water coolers floral abstract art print on velvet drum lamp shade all shapes and sizes available","luxury water coolers floral abstract art print on",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7628816143_liqn.webp?v=1773658201,Lumina Hub
handmade-by-order-luxury-picasso-abstract-faces-art-print-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury picasso abstract faces art print on velvet drum lamp shade pendant light lamp shade all shapes and sizes available","luxury picasso abstract faces art print on velvet drum",drum,24.99,240,9,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_1140xN.7612652901_ohfw.webp?v=1775748477,Lumina Hub
handmade-by-order-green-gold-floral-plant-pattern-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order green gold floral plant pattern on velvet drum lamp shade pendant light lamp shade all shapes and sizes available","green gold floral plant pattern on velvet drum lamp",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download-2026-03-25T140824.692.png?v=1774429853,Lumina Hub
handmade-velvet-drum-lamp-shade-black-red-geometric-retro-design,"Handmade Velvet Drum Lamp Shade: Black Red Geometric Retro Design","Handmade Velvet Drum Lamp Shade: Black Red Geometric",drum,24.99,240,9,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7654750207_6m2a.webp?v=1776006382,Lumina Hub
handmade-by-order-luxury-petrol-paint-art-black-grey-floral-flowers-plant-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury petrol paint art black grey floral flowers plant drum lamp shade pendant light lamp shade all shapes and sizes available","luxury petrol paint art black grey floral flowers plant",drum,24.99,240,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7654518935_24y2.webp?v=1775748355,Lumina Hub
handmade-black-velvet-lamp-shade-mushroom-village-jungle-pattern,"Handmade Black Velvet Lamp Shade: Mushroom Village Jungle Pattern","Handmade Black Velvet Lamp Shade: Mushroom Village",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7022218630_prnz.webp?v=1773656754,Lumina Hub
handmade-by-order-luxury-blue-laser-beem-geometry-pattern-black-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order luxury blue laser beem geometry pattern black velvet drum lamp shade pendant light lamp shade all shapes and sizes available","luxury blue laser beem geometry pattern black velvet",drum,24.99,240,9,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/download_-_2026-04-25T153351.290.png?v=1777113309,Lumina Hub
handmade-black-velvet-drum-lamp-shade-silver-copper-foil-accent,"Handmade Black Velvet Drum Lamp Shade: Silver Copper Foil Accent","Handmade Black Velvet Drum Lamp Shade: Silver Copper",foil-lined,24.99,240,9,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7096809986_t3yf.webp?v=1773656119,Lumina Hub
handmade-by-order-luxury-pumpkin-orange-velvet-and-fox-in-forest-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avail,"Handmade by order luxury pumpkin orange velvet and fox in forest pattern drum lamp shade pendant light lamp shade all shapes and sizes avail","luxury pumpkin orange velvet and fox in forest pattern",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7615231372_litq.webp?v=1773546374,Lumina Hub
handmade-by-order-purple-rose-floral-plant-print-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order purple rose floral plant print on velvet drum lamp shade pendant light lamp shade all shapes and sizes available","purple rose floral plant print on velvet drum lamp",drum,24.99,240,10,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_1140xN.7600919486_34cg.webp?v=1775748208,Lumina Hub
handmade-by-order-luxury-cotton-multicoloured-geometric-pattern-cubes-on-velvet-drum-lamp-shade-pendant-light-shade-all-shapes-and-sizes,"Handmade by order luxury cotton multicoloured geometric pattern cubes on velvet drum lamp shade pendant light shade all shapes and sizes","luxury cotton multicoloured geometric pattern cubes on",drum,24.99,240,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7665457141_o360.webp?v=1773525514,Lumina Hub
handmade-by-order-lucky-deep-orange-velvet-and-fish-pattern-inside-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Handmade by order lucky deep orange velvet and fish pattern inside drum lamp shade pendant light lamp shade all shapes and sizes available","lucky deep orange velvet and fish pattern inside drum",drum,24.99,24,11,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7663185581_mih9.webp?v=1773525042,Lumina Hub
handmade-by-order-luxury-jungle-and-bangal-tiger-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-pendant-shade-all-shapes-and-sizes,"Handmade by order luxury jungle and bangal tiger on velvet drum lamp shade pendant light lamp shade pendant shade all shapes and sizes","luxury jungle and bangal tiger on velvet drum lamp",drum,24.99,240,9,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7598085658_ko20.webp?v=1775747087,Lumina Hub
handmade-by-order-zigzag-patch-multicoloured-geometric-pattern-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-availabl-1,"Handmade by order zigzag patch multicoloured geometric pattern velvet drum lamp shade pendant light lamp shade all shapes and sizes availabl","zigzag patch multicoloured geometric pattern velvet",drum,24.99,240,9,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7541579462_gnbb.webp?v=1773359910,Lumina Hub
handmade-by-order-luxury-royal-blue-mushroom-fantasty-jungle-village-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Handmade by order luxury royal blue mushroom fantasty jungle village pattern drum lamp shade pendant light lamp shade all shapes and sizes","luxury royal blue mushroom fantasty jungle village",drum,24.99,240,8,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7663258387_l92w.jpg?v=1773357266,Lumina Hub
handmade-by-order-studio-green-dark-green-grey-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-available,"Handmade by order studio green dark green grey velvet drum lamp shade pendant light lamp shade all sizes and shapes available","studio green dark green grey velvet drum lamp shade",drum,24.99,240,8,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/il_794xN.7126216642_sark.webp?v=1773353088,Lumina Hub
